step,x_mm,y_mm,z_mm,odor_conc,forward_cmd,turn_cmd,distance_to_source_mm
0,35.00001233945831,35.00000019381977,5.0,0.00012340980408667956,0.00012340980408667956,0.9998765901959134,21.21319457323224
1,35.00002467444345,35.000000581414426,5.0,0.0001234107321274287,0.0001234107321274287,0.9998765892678726,21.213185577014897
2,35.000037001914016,35.000001162691326,5.0,0.00012341167419162896,0.00012341167419162896,0.9998765883258084,21.213176449160326
3,35.000049318830364,35.000001937510135,5.0,0.00012341263004753337,0.00012341263004753337,0.9998765873699524,21.213167191916938
4,35.0000616221554,35.00000290568282,5.0,0.000123413599459991,0.000123413599459991,0.99987658640054,21.213157807565075
5,35.0000739088553,35.00000406697372,5.0,0.0001234145821905053,0.0001234145821905053,0.9998765854178095,21.213148298416442
6,35.00008617590026,35.0000054210996,5.0,0.00012341557799729232,0.00012341557799729232,0.9998765844220027,21.213138666813546
7,35.000098420265246,35.000006967729696,5.0,0.0001234165866353381,0.0001234165866353381,0.9998765834133647,21.21312891512911
8,35.00011063893074,35.000008706485815,5.0,0.00012341760785646052,0.00012341760785646052,0.9998765823921435,21.213119045765524
9,35.000122828883484,35.00001063694242,5.0,0.00012341864140936833,0.00012341864140936833,0.9998765813585906,21.213109061154213
10,35.00013498711721,35.000012758626724,5.0,0.0001234196870397232,0.0001234196870397232,0.9998765803129602,21.21309896375507
11,35.000147110633385,35.00001507101883,5.0,0.0001234207444902017,0.0001234207444902017,0.9998765792555098,21.21308875605583
12,35.00015919644197,35.00001757355182,5.0,0.0001234218135005591,0.0001234218135005591,0.9998765781864994,21.21307844057148
13,35.00017124156213,35.00002026561192,5.0,0.00012342289380769142,0.00012342289380769142,0.9998765771061923,21.213068019843636
14,35.00018324302297,35.00002314653864,5.0,0.00012342398514570037,0.00012342398514570037,0.9998765760148542,21.213057496439912
15,35.00019519786429,35.00002621562493,5.0,0.00012342508724595875,0.00012342508724595875,0.9998765749127541,21.21304687295328
16,35.000207103137285,35.00002947211735,5.0,0.00012342619983717672,0.00012342619983717672,0.9998765738001628,21.21303615200147
17,35.0002189559053,35.000032915216266,5.0,0.0001234273226454662,0.0001234273226454662,0.9998765726773545,21.213025336226284
18,35.00023075324452,35.00003654407604,5.0,0.00012342845539440946,0.00012342845539440946,0.9998765715446056,21.21301442829297
19,35.00024249224473,35.00004035780521,5.0,0.0001234295978051263,0.0001234295978051263,0.9998765704021949,21.21300343088958
