step,time_s,x_mm,y_mm,z_mm,odor,forward_cmd,turn_cmd,wing_Hz,left_leg,right_leg
0,0.0,20.001831563888874,20.0,5.0,0.01831563888873418,0.01831563888873418,0.0,2.747345833310127,0.0,-0.0
1,0.01,20.003663575102212,20.0,5.0,0.018320112133398157,0.018320112133398157,0.0,2.7480168200097235,0.0,-0.0
2,0.02,20.00549603383123,20.0,5.0,0.018324587290161783,0.018324587290161783,0.0,2.7486880935242675,0.0,-0.0
3,0.03,20.007328940267243,20.0,5.0,0.018329064360159453,0.018329064360159453,0.0,2.749359654023918,0.0,-0.0
4,0.04,20.009162294601694,20.0,5.0,0.018333543344526373,0.018333543344526373,0.0,2.750031501678956,0.0,-0.0
5,0.05,20.010996097026133,20.0,5.0,0.01833802424439861,0.01833802424439861,0.0,2.7507036366597917,0.0,-0.0
6,0.06,20.012830347732226,20.0,5.0,0.018342507060913078,0.018342507060913078,0.0,2.7513760591369616,0.0,-0.0
7,0.07,20.014665046911748,20.0,5.0,0.018346991795207535,0.018346991795207535,0.0,2.75204876928113,0.0,-0.0
8,0.08,20.016500194756592,20.0,5.0,0.018351478448420586,0.018351478448420586,0.0,2.752721767263088,0.0,-0.0
9,0.09,20.01833579145876,20.0,5.0,0.018355967021691667,0.018355967021691667,0.0,2.75339505325375,0.0,-0.0
10,0.1,20.020171837210377,20.0,5.0,0.01836045751616107,0.01836045751616107,0.0,2.7540686274241604,0.0,-0.0
11,0.11,20.022008332203676,20.0,5.0,0.01836494993296996,0.01836494993296996,0.0,2.754742489945494,0.0,-0.0
12,0.12,20.023845276631,20.0,5.0,0.01836944427326032,0.01836944427326032,0.0,2.755416640989048,0.0,-0.0
13,0.13,20.02568267068482,20.0,5.0,0.018373940538174996,0.018373940538174996,0.0,2.7560910807262493,0.0,-0.0
14,0.14,20.027520514557704,20.0,5.0,0.018378438728857683,0.018378438728857683,0.0,2.7567658093286522,0.0,-0.0
15,0.15,20.02935880844235,20.0,5.0,0.018382938846452933,0.018382938846452933,0.0,2.7574408269679402,0.0,-0.0
16,0.16,20.03119755253156,20.0,5.0,0.018387440892106154,0.018387440892106154,0.0,2.758116133815923,0.0,-0.0
17,0.17,20.033036747018254,20.0,5.0,0.018391944866963588,0.018391944866963588,0.0,2.758791730044538,0.0,-0.0
18,0.18,20.034876392095473,20.0,5.0,0.018396450772172352,0.018396450772172352,0.0,2.759467615825853,0.0,-0.0
19,0.19,20.03671648795636,20.0,5.0,0.018400958608880406,0.018400958608880406,0.0,2.760143791332061,0.0,-0.0
20,0.2,20.038557034794184,20.0,5.0,0.018405468378236565,0.018405468378236565,0.0,2.7608202567354847,0.0,-0.0
21,0.21,20.040398032802322,20.0,5.0,0.018409980081390512,0.018409980081390512,0.0,2.7614970122085767,0.0,-0.0
22,0.22,20.04223948217427,20.0,5.0,0.01841449371949276,0.01841449371949276,0.0,2.762174057923914,0.0,-0.0
23,0.23,20.04408138310364,20.0,5.0,0.018419009293694732,0.018419009293694732,0.0,2.7628513940542097,0.0,-0.0
24,0.24,20.045923735784157,20.0,5.0,0.01842352680514865,0.01842352680514865,0.0,2.763529020772298,0.0,-0.0
25,0.25,20.047766540409658,20.0,5.0,0.018428046255007637,0.018428046255007637,0.0,2.7642069382511454,0.0,-0.0
26,0.26,20.0496097971741,20.0,5.0,0.01843256764442566,0.01843256764442566,0.0,2.7648851466638487,0.0,-0.0
27,0.27,20.051453506271557,20.0,5.0,0.01843709097455752,0.01843709097455752,0.0,2.765563646183628,0.0,-0.0
28,0.28,20.053297667896214,20.0,5.0,0.018441616246558955,0.018441616246558955,0.0,2.7662424369838434,0.0,-0.0
29,0.29,20.05514228224237,20.0,5.0,0.01844614346158648,0.01844614346158648,0.0,2.7669215192379717,0.0,-0.0
30,0.3,20.05698734950445,20.0,5.0,0.018450672620797515,0.018450672620797515,0.0,2.7676008931196274,0.0,-0.0
31,0.31,20.058832869876984,20.0,5.0,0.018455203725350356,0.018455203725350356,0.0,2.7682805588025534,0.0,-0.0
32,0.32,20.060678843554623,20.0,5.0,0.018459736776404122,0.018459736776404122,0.0,2.7689605164606186,0.0,-0.0
33,0.33,20.062525270732134,20.0,5.0,0.018464271775118855,0.018464271775118855,0.0,2.769640766267828,0.0,-0.0
34,0.34,20.0643721516044,20.0,5.0,0.01846880872265541,0.01846880872265541,0.0,2.770321308398312,0.0,-0.0
35,0.35000000000000003,20.066219486366418,20.0,5.0,0.01847334762017553,0.01847334762017553,0.0,2.7710021430263296,0.0,-0.0
36,0.36,20.068067275213302,20.0,5.0,0.018477888468841838,0.018477888468841838,0.0,2.771683270326276,0.0,-0.0
