step,x_mm,y_mm,z_mm,odor_conc,forward_cmd,turn_cmd,distance_to_source_mm
0,20.001831563888874,20.0,5.0,0.01831563888873418,0.01831563888873418,0.0,42.425111779714776
1,20.003663575102212,20.0,5.0,0.018320112133398157,0.018320112133398157,0.0,42.42381641148813
2,20.00549603383123,20.0,5.0,0.018324587290161783,0.018324587290161783,0.0,42.42252076641031
3,20.007328940267243,20.0,5.0,0.018329064360159453,0.018329064360159453,0.0,42.42122484437868
4,20.009162294601694,20.0,5.0,0.018333543344526373,0.018333543344526373,0.0,42.41992864529054
5,20.010996097026133,20.0,5.0,0.01833802424439861,0.01833802424439861,0.0,42.41863216904314
6,20.012830347732226,20.0,5.0,0.018342507060913078,0.018342507060913078,0.0,42.4173354155337
7,20.014665046911748,20.0,5.0,0.018346991795207535,0.018346991795207535,0.0,42.41603838465936
8,20.016500194756592,20.0,5.0,0.018351478448420586,0.018351478448420586,0.0,42.41474107631722
9,20.01833579145876,20.0,5.0,0.018355967021691667,0.018355967021691667,0.0,42.41344349040435
10,20.020171837210377,20.0,5.0,0.01836045751616107,0.01836045751616107,0.0,42.412145626817725
11,20.022008332203676,20.0,5.0,0.01836494993296996,0.01836494993296996,0.0,42.410847485454305
12,20.023845276631,20.0,5.0,0.01836944427326032,0.01836944427326032,0.0,42.40954906621099
13,20.02568267068482,20.0,5.0,0.018373940538174996,0.018373940538174996,0.0,42.408250368984625
14,20.027520514557704,20.0,5.0,0.018378438728857683,0.018378438728857683,0.0,42.406951393671996
15,20.02935880844235,20.0,5.0,0.018382938846452933,0.018382938846452933,0.0,42.405652140169856
16,20.03119755253156,20.0,5.0,0.018387440892106154,0.018387440892106154,0.0,42.40435260837489
17,20.033036747018254,20.0,5.0,0.018391944866963588,0.018391944866963588,0.0,42.403052798183744
18,20.034876392095473,20.0,5.0,0.018396450772172352,0.018396450772172352,0.0,42.401752709493
19,20.03671648795636,20.0,5.0,0.018400958608880406,0.018400958608880406,0.0,42.40045234219921
20,20.038557034794184,20.0,5.0,0.018405468378236565,0.018405468378236565,0.0,42.39915169619884
21,20.040398032802322,20.0,5.0,0.018409980081390512,0.018409980081390512,0.0,42.39785077138834
22,20.04223948217427,20.0,5.0,0.01841449371949276,0.01841449371949276,0.0,42.39654956766409
23,20.04408138310364,20.0,5.0,0.018419009293694732,0.018419009293694732,0.0,42.395248084922414
24,20.045923735784157,20.0,5.0,0.01842352680514865,0.01842352680514865,0.0,42.3939463230596
25,20.047766540409658,20.0,5.0,0.018428046255007637,0.018428046255007637,0.0,42.39264428197188
26,20.0496097971741,20.0,5.0,0.01843256764442566,0.01843256764442566,0.0,42.391341961555426
27,20.051453506271557,20.0,5.0,0.01843709097455752,0.01843709097455752,0.0,42.39003936170636
28,20.053297667896214,20.0,5.0,0.018441616246558955,0.018441616246558955,0.0,42.38873648232075
29,20.05514228224237,20.0,5.0,0.01844614346158648,0.01844614346158648,0.0,42.38743332329464
30,20.05698734950445,20.0,5.0,0.018450672620797515,0.018450672620797515,0.0,42.386129884523974
31,20.058832869876984,20.0,5.0,0.018455203725350356,0.018455203725350356,0.0,42.38482616590469
32,20.060678843554623,20.0,5.0,0.018459736776404122,0.018459736776404122,0.0,42.38352216733264
33,20.062525270732134,20.0,5.0,0.018464271775118855,0.018464271775118855,0.0,42.38221788870365
34,20.0643721516044,20.0,5.0,0.01846880872265541,0.01846880872265541,0.0,42.38091332991348
35,20.066219486366418,20.0,5.0,0.01847334762017553,0.01847334762017553,0.0,42.379608490857834
36,20.068067275213302,20.0,5.0,0.018477888468841838,0.018477888468841838,0.0,42.37830337143238
37,20.069915518340284,20.0,5.0,0.018482431269817797,0.018482431269817797,0.0,42.37699797153272
38,20.07176421594271,20.0,5.0,0.018486976024267764,0.018486976024267764,0.0,42.3756922910544
39,20.073613368216048,20.0,5.0,0.018491522733356962,0.018491522733356962,0.0,42.374386329892936
40,20.075462975355872,20.0,5.0,0.01849607139825148,0.01849607139825148,0.0,42.37308008794378
41,20.077313037557886,20.0,5.0,0.018500622020118256,0.018500622020118256,0.0,42.371773565102316
42,20.0791635550179,20.0,5.0,0.01850517460012514,0.01850517460012514,0.0,42.3704667612639
43,20.081014527931842,20.0,5.0,0.018509729139440836,0.018509729139440836,0.0,42.36915967632383
44,20.082865956495766,20.0,5.0,0.018514285639234917,0.018514285639234917,0.0,42.36785231017735
45,20.084717840905835,20.0,5.0,0.01851884410067784,0.01851884410067784,0.0,42.36654466271963
46,20.08657018135833,20.0,5.0,0.018523404524940956,0.018523404524940956,0.0,42.36523673384584
47,20.08842297804965,20.0,5.0,0.018527966913196425,0.018527966913196425,0.0,42.36392852345104
48,20.09027623117631,20.0,5.0,0.018532531266617372,0.018532531266617372,0.0,42.36262003143026
49,20.09212994093495,20.0,5.0,0.018537097586377737,0.018537097586377737,0.0,42.36131125767851
50,20.093984107522314,20.0,5.0,0.018541665873652347,0.018541665873652347,0.0,42.36000220209069
51,20.095838731135274,20.0,5.0,0.01854623612961694,0.01854623612961694,0.0,42.35869286456169
52,20.097693811970817,20.0,5.0,0.018550808355448097,0.018550808355448097,0.0,42.35738324498632
53,20.09954935022605,20.0,5.0,0.018555382552323314,0.018555382552323314,0.0,42.356073343259375
54,20.10140534609819,20.0,5.0,0.01855995872142093,0.01855995872142093,0.0,42.35476315927556
55,20.103261799784583,20.0,5.0,0.018564536863920216,0.018564536863920216,0.0,42.35345269292953
56,20.10511871148268,20.0,5.0,0.01856911698100127,0.01856911698100127,0.0,42.35214194411592
57,20.106976081390066,20.0,5.0,0.018573699073845103,0.018573699073845103,0.0,42.35083091272927
58,20.10883390970443,20.0,5.0,0.018578283143633634,0.018578283143633634,0.0,42.34951959866411
59,20.110692196623585,20.0,5.0,0.01858286919154962,0.01858286919154962,0.0,42.34820800181489
60,20.112550942345464,20.0,5.0,0.018587457218776717,0.018587457218776717,0.0,42.346896122076
61,20.114410147068114,20.0,5.0,0.018592047226499507,0.018592047226499507,0.0,42.345583959341795
62,20.116269810989703,20.0,5.0,0.018596639215903404,0.018596639215903404,0.0,42.344271513506584
63,20.11812993430852,20.0,5.0,0.018601233188174745,0.018601233188174745,0.0,42.34295878446461
64,20.11999051722297,20.0,5.0,0.018605829144500735,0.018605829144500735,0.0,42.341645772110056
65,20.121851559931578,20.0,5.0,0.018610427086069515,0.018610427086069515,0.0,42.34033247633706
66,20.123713062632984,20.0,5.0,0.018615027014070064,0.018615027014070064,0.0,42.33901889703972
67,20.125575025525954,20.0,5.0,0.018619628929692267,0.018619628929692267,0.0,42.33770503411207
68,20.127437448809367,20.0,5.0,0.018624232834126914,0.018624232834126914,0.0,42.33639088744808
69,20.129300332682224,20.0,5.0,0.018628838728565668,0.018628838728565668,0.0,42.335076456941685
70,20.131163677343643,20.0,5.0,0.018633446614201132,0.018633446614201132,0.0,42.33376174248676
71,20.133027482992865,20.0,5.0,0.018638056492226742,0.018638056492226742,0.0,42.33244674397712
72,20.13489174982925,20.0,5.0,0.018642668363836854,0.018642668363836854,0.0,42.33113146130655
73,20.136756478052273,20.0,5.0,0.018647282230226752,0.018647282230226752,0.0,42.32981589436874
74,20.138621667861532,20.0,5.0,0.018651898092592586,0.018651898092592586,0.0,42.32850004305738
75,20.140487319456746,20.0,5.0,0.018656515952131376,0.018656515952131376,0.0,42.32718390726607
76,20.14235343303775,20.0,5.0,0.018661135810041116,0.018661135810041116,0.0,42.32586748688835
77,20.144220008804503,20.0,5.0,0.01866575766752064,0.01866575766752064,0.0,42.32455078181775
78,20.14608704695708,20.0,5.0,0.01867038152576968,0.01867038152576968,0.0,42.3232337919477
79,20.14795454769568,20.0,5.0,0.01867500738598892,0.01867500738598892,0.0,42.32191651717161
80,20.149822511220616,20.0,5.0,0.01867963524937989,0.01867963524937989,0.0,42.32059895738281
81,20.15169093773233,20.0,5.0,0.018684265117145063,0.018684265117145063,0.0,42.31928111247461
82,20.15355982743138,20.0,5.0,0.018688896990487792,0.018688896990487792,0.0,42.31796298234023
83,20.155429180518443,20.0,5.0,0.018693530870612343,0.018693530870612343,0.0,42.31664456687286
84,20.157298997194314,20.0,5.0,0.018698166758723885,0.018698166758723885,0.0,42.315325865965626
85,20.159169277659917,20.0,5.0,0.01870280465602851,0.01870280465602851,0.0,42.31400687951161
86,20.16104002211629,20.0,5.0,0.01870744456373317,0.01870744456373317,0.0,42.31268760740383
87,20.162911230764593,20.0,5.0,0.01871208648304579,0.01871208648304579,0.0,42.31136804953527
88,20.16478290380611,20.0,5.0,0.018716730415175152,0.018716730415175152,0.0,42.31004820579882
89,20.166655041442244,20.0,5.0,0.01872137636133096,0.01872137636133096,0.0,42.30872807608737
90,20.168527643874516,20.0,5.0,0.018726024322723838,0.018726024322723838,0.0,42.30740766029371
91,20.170400711304573,20.0,5.0,0.018730674300565322,0.018730674300565322,0.0,42.30608695831061
92,20.17227424393418,20.0,5.0,0.018735326296067847,0.018735326296067847,0.0,42.30476597003076
93,20.174148241965224,20.0,5.0,0.018739980310444753,0.018739980310444753,0.0,42.30344469534681
94,20.176022705599713,20.0,5.0,0.018744636344910328,0.018744636344910328,0.0,42.302123134151365
95,20.17789763503978,20.0,5.0,0.018749294400679746,0.018749294400679746,0.0,42.300801286336956
96,20.179773030487677,20.0,5.0,0.018753954478969093,0.018753954478969093,0.0,42.29947915179606
97,20.181648892145777,20.0,5.0,0.018758616580995407,0.018758616580995407,0.0,42.29815673042114
98,20.183525220216573,20.0,5.0,0.018763280707976573,0.018763280707976573,0.0,42.296834022104555
99,20.185402014902685,20.0,5.0,0.018767946861131462,0.018767946861131462,0.0,42.29551102673863
100,20.18727927640685,20.0,5.0,0.018772615041679836,0.018772615041679836,0.0,42.29418774421564
101,20.189157004931936,20.0,5.0,0.01877728525084237,0.01877728525084237,0.0,42.292864174427805
102,20.19103520068092,20.0,5.0,0.018781957489840673,0.018781957489840673,0.0,42.291540317267284
103,20.19291386385691,20.0,5.0,0.018786631759897268,0.018786631759897268,0.0,42.29021617262619
104,20.194792994663132,20.0,5.0,0.018791308062235598,0.018791308062235598,0.0,42.28889174039658
105,20.19667259330294,20.0,5.0,0.01879598639808002,0.01879598639808002,0.0,42.287567020470455
106,20.198552659979804,20.0,5.0,0.018800666768655813,0.018800666768655813,0.0,42.286242012739756
107,20.20043319489732,20.0,5.0,0.018805349175189216,0.018805349175189216,0.0,42.28491671709639
108,20.202314198259213,20.0,5.0,0.01881003361890736,0.01881003361890736,0.0,42.28359113343218
109,20.204195670269318,20.0,5.0,0.018814720101038303,0.018814720101038303,0.0,42.282265261638926
110,20.206077611131597,20.0,5.0,0.018819408622811028,0.018819408622811028,0.0,42.280939101608354
111,20.207960021050145,20.0,5.0,0.018824099185455447,0.018824099185455447,0.0,42.27961265323213
112,20.209842900229166,20.0,5.0,0.018828791790202422,0.018828791790202422,0.0,42.27828591640189
113,20.211726248872996,20.0,5.0,0.01883348643828371,0.01883348643828371,0.0,42.2769588910092
114,20.21361006718609,20.0,5.0,0.018838183130932024,0.018838183130932024,0.0,42.27563157694558
115,20.21549435537303,20.0,5.0,0.01884288186938098,0.01884288186938098,0.0,42.27430397410247
116,20.217379113638515,20.0,5.0,0.018847582654865164,0.018847582654865164,0.0,42.272976082371294
117,20.219264342187376,20.0,5.0,0.018852285488620047,0.018852285488620047,0.0,42.27164790164339
118,20.221150041224565,20.0,5.0,0.01885699037188208,0.01885699037188208,0.0,42.270319431810066
119,20.223036210955154,20.0,5.0,0.01886169730588862,0.01886169730588862,0.0,42.268990672762556
120,20.224922851584342,20.0,5.0,0.01886640629187795,0.01886640629187795,0.0,42.26766162439205
121,20.22680996331745,20.0,5.0,0.01887111733108932,0.01887111733108932,0.0,42.26633228658967
122,20.228697546359925,20.0,5.0,0.018875830424762877,0.018875830424762877,0.0,42.26500265924652
123,20.23058560091734,20.0,5.0,0.018880545574139745,0.018880545574139745,0.0,42.263672742253604
124,20.23247412719539,20.0,5.0,0.018885262780461955,0.018885262780461955,0.0,42.26234253550189
125,20.234363125399884,20.0,5.0,0.01888998204497251,0.01888998204497251,0.0,42.26101203888229
126,20.236252595736776,20.0,5.0,0.018894703368915296,0.018894703368915296,0.0,42.25968125228568
127,20.23814253841213,20.0,5.0,0.01889942675353521,0.01889942675353521,0.0,42.25835017560285
128,20.240032953632138,20.0,5.0,0.018904152200078045,0.018904152200078045,0.0,42.25701880872456
129,20.241923841603118,20.0,5.0,0.018908879709790525,0.018908879709790525,0.0,42.255687151541494
130,20.24381520253151,20.0,5.0,0.018913609283920368,0.018913609283920368,0.0,42.2543552039443
131,20.245707036623884,20.0,5.0,0.018918340923716193,0.018918340923716193,0.0,42.25302296582356
132,20.247599344086925,20.0,5.0,0.018923074630427562,0.018923074630427562,0.0,42.25169043706981
133,20.249492125127457,20.0,5.0,0.018927810405305015,0.018927810405305015,0.0,42.25035761757352
134,20.251385379952417,20.0,5.0,0.01893254824960001,0.01893254824960001,0.0,42.249024507225116
135,20.253279108768872,20.0,5.0,0.018937288164564962,0.018937288164564962,0.0,42.24769110591497
136,20.255173311784016,20.0,5.0,0.018942030151453237,0.018942030151453237,0.0,42.24635741353337
137,20.25706798920517,20.0,5.0,0.018946774211519146,0.018946774211519146,0.0,42.24502342997059
138,20.25896314123977,20.0,5.0,0.018951520346017953,0.018951520346017953,0.0,42.24368915511682
139,20.260858768095392,20.0,5.0,0.018956268556205868,0.018956268556205868,0.0,42.24235458886222
