step,time_s,x_mm,y_mm,z_mm,odor,forward_cmd,turn_cmd,wing_Hz,left_leg,right_leg
0,0.0,10.001831563888873,10.0,5.0,0.01831563888873418,0.01831563888873418,0.0,2.747345833310127,0.0,-0.0
1,0.01,10.003663463263415,10.0,5.0,0.018318993745425862,0.018318993745425862,0.0,2.7478490618138793,0.0,-0.0
2,0.02,10.005495698231174,10.0,5.0,0.018322349677593865,0.018322349677593865,0.0,2.7483524516390796,0.0,-0.0
3,0.03,10.007328268899746,10.0,5.0,0.01832570668571667,0.01832570668571667,0.0,2.748856002857501,0.0,-0.0
4,0.04,10.009161175376773,10.0,5.0,0.01832906477027308,0.01832906477027308,0.0,2.749359715540962,0.0,-0.0
5,0.05,10.010994417769947,10.0,5.0,0.018332423931742087,0.018332423931742087,0.0,2.749863589761313,0.0,-0.0
6,0.06,10.012827996187006,10.0,5.0,0.018335784170602987,0.018335784170602987,0.0,2.750367625590448,0.0,-0.0
7,0.07,10.01466191073574,10.0,5.0,0.018339145487335333,0.018339145487335333,0.0,2.7508718231003,0.0,-0.0
8,0.08,10.016496161523982,10.0,5.0,0.018342507882418976,0.018342507882418976,0.0,2.751376182362846,0.0,-0.0
9,0.09,10.018330748659615,10.0,5.0,0.01834587135633399,0.01834587135633399,0.0,2.7518807034500985,0.0,-0.0
10,0.1,10.02016567225057,10.0,5.0,0.01834923590956077,0.01834923590956077,0.0,2.7523853864341152,0.0,-0.0
11,0.11,10.02200093240483,10.0,5.0,0.018352601542579908,0.018352601542579908,0.0,2.7528902313869863,0.0,-0.0
12,0.12,10.023836529230417,10.0,5.0,0.01835596825587234,0.01835596825587234,0.0,2.7533952383808513,0.0,-0.0
13,0.13,10.02567246283541,10.0,5.0,0.0183593360499192,0.0183593360499192,0.0,2.75390040748788,0.0,-0.0
14,0.14,10.02750873332793,10.0,5.0,0.01836270492520197,0.01836270492520197,0.0,2.754405738780296,0.0,-0.0
15,0.15,10.02934534081615,10.0,5.0,0.018366074882202307,0.018366074882202307,0.0,2.754911232330346,0.0,-0.0
16,0.16,10.03118228540829,10.0,5.0,0.018369445921402227,0.018369445921402227,0.0,2.755416888210334,0.0,-0.0
17,0.17,10.033019567212618,10.0,5.0,0.01837281804328395,0.01837281804328395,0.0,2.7559227064925924,0.0,-0.0
18,0.18,10.034857186337451,10.0,5.0,0.01837619124833,0.01837619124833,0.0,2.7564286872494996,0.0,-0.0
19,0.19,10.036695142891153,10.0,5.0,0.018379565537023152,0.018379565537023152,0.0,2.756934830553473,0.0,-0.0
20,0.2,10.038533436982137,10.0,5.0,0.018382940909846476,0.018382940909846476,0.0,2.7574411364769715,0.0,-0.0
21,0.21,10.040372068718865,10.0,5.0,0.01838631736728325,0.01838631736728325,0.0,2.757947605092488,0.0,-0.0
22,0.22,10.042211038209846,10.0,5.0,0.01838969490981713,0.01838969490981713,0.0,2.7584542364725695,0.0,-0.0
23,0.23,10.044050345563639,10.0,5.0,0.01839307353793193,0.01839307353793193,0.0,2.7589610306897896,0.0,-0.0
24,0.24,10.045889990888849,10.0,5.0,0.018396453252111825,0.018396453252111825,0.0,2.7594679878167736,0.0,-0.0
25,0.25,10.047729974294134,10.0,5.0,0.018399834052841187,0.018399834052841187,0.0,2.759975107926178,0.0,-0.0
26,0.26,10.049570295888195,10.0,5.0,0.01840321594060469,0.01840321594060469,0.0,2.7604823910907035,0.0,-0.0
27,0.27,10.051410955779783,10.0,5.0,0.0184065989158873,0.0184065989158873,0.0,2.760989837383095,0.0,-0.0
28,0.28,10.0532519540777,10.0,5.0,0.01840998297917421,0.01840998297917421,0.0,2.7614974468761315,0.0,-0.0
29,0.29,10.055093290890795,10.0,5.0,0.01841336813095092,0.01841336813095092,0.0,2.762005219642638,0.0,-0.0
30,0.3,10.056934966327965,10.0,5.0,0.018416754371703193,0.018416754371703193,0.0,2.762513155755479,0.0,-0.0
31,0.31,10.058776980498157,10.0,5.0,0.018420141701917067,0.018420141701917067,0.0,2.76302125528756,0.0,-0.0
32,0.32,10.060619333510365,10.0,5.0,0.018423530122078837,0.018423530122078837,0.0,2.7635295183118256,0.0,-0.0
33,0.33,10.062462025473632,10.0,5.0,0.018426919632675072,0.018426919632675072,0.0,2.764037944901261,0.0,-0.0
34,0.34,10.064305056497052,10.0,5.0,0.01843031023419263,0.01843031023419263,0.0,2.7645465351288943,0.0,-0.0
35,0.35000000000000003,10.066148426689763,10.0,5.0,0.01843370192711859,0.01843370192711859,0.0,2.7650552890677886,0.0,-0.0
36,0.36,10.067992136160957,10.0,5.0,0.01843709471194042,0.01843709471194042,0.0,2.7655642067910633,0.0,-0.0
37,0.37,10.069836185019872,10.0,5.0,0.01844048858914572,0.01844048858914572,0.0,2.766073288371858,0.0,-0.0
38,0.38,10.071680573375794,10.0,5.0,0.018443883559222468,0.018443883559222468,0.0,2.76658253388337,0.0,-0.0
39,0.39,10.07352530133806,10.0,5.0,0.01844727962265885,0.01844727962265885,0.0,2.7670919433988272,0.0,-0.0
40,0.4,10.075370369016055,10.0,5.0,0.018450676779943352,0.018450676779943352,0.0,2.767601516991503,0.0,-0.0
41,0.41000000000000003,10.07721577651921,10.0,5.0,0.018454075031564744,0.018454075031564744,0.0,2.7681112547347118,0.0,-0.0
42,0.42,10.079061523957012,10.0,5.0,0.018457474378012036,0.018457474378012036,0.0,2.7686211567018053,0.0,-0.0
43,0.43,10.08090761143899,10.0,5.0,0.018460874819774556,0.018460874819774556,0.0,2.7691312229661835,0.0,-0.0
44,0.44,10.082754039074723,10.0,5.0,0.018464276357341877,0.018464276357341877,0.0,2.7696414536012814,0.0,-0.0
45,0.45,10.084600806973844,10.0,5.0,0.018467678991203856,0.018467678991203856,0.0,2.7701518486805785,0.0,-0.0
46,0.46,10.08644791524603,10.0,5.0,0.018471082721850603,0.018471082721850603,0.0,2.7706624082775906,0.0,-0.0
47,0.47000000000000003,10.088295364001008,10.0,5.0,0.018474487549772534,0.018474487549772534,0.0,2.77117313246588,0.0,-0.0
48,0.48,10.090143153348553,10.0,5.0,0.018477893475460333,0.018477893475460333,0.0,2.77168402131905,0.0,-0.0
49,0.49,10.091991283398494,10.0,5.0,0.01848130049940492,0.01848130049940492,0.0,2.772195074910738,0.0,-0.0
50,0.5,10.093839754260705,10.0,5.0,0.018484708622097553,0.018484708622097553,0.0,2.772706293314633,0.0,-0.0
51,0.51,10.095688566045107,10.0,5.0,0.01848811784402973,0.01848811784402973,0.0,2.7732176766044594,0.0,-0.0
52,0.52,10.097537718861677,10.0,5.0,0.018491528165693213,0.018491528165693213,0.0,2.773729224853982,0.0,-0.0
53,0.53,10.099387212820435,10.0,5.0,0.018494939587580056,0.018494939587580056,0.0,2.7742409381370083,0.0,-0.0
54,0.54,10.101237048031454,10.0,5.0,0.018498352110182605,0.018498352110182605,0.0,2.774752816527391,0.0,-0.0
55,0.55,10.103087224604852,10.0,5.0,0.01850176573399346,0.01850176573399346,0.0,2.775264860099019,0.0,-0.0
56,0.56,10.104937742650803,10.0,5.0,0.018505180459505485,0.018505180459505485,0.0,2.775777068925823,0.0,-0.0
57,0.5700000000000001,10.106788602279524,10.0,5.0,0.018508596287211864,0.018508596287211864,0.0,2.7762894430817795,0.0,-0.0
58,0.58,10.108639803601285,10.0,5.0,0.018512013217605993,0.018512013217605993,0.0,2.776801982640899,0.0,-0.0
59,0.59,10.110491346726404,10.0,5.0,0.018515431251181616,0.018515431251181616,0.0,2.7773146876772423,0.0,-0.0
60,0.6,10.112343231765246,10.0,5.0,0.018518850388432716,0.018518850388432716,0.0,2.7778275582649075,0.0,-0.0
61,0.61,10.114195458828231,10.0,5.0,0.018522270629853545,0.018522270629853545,0.0,2.7783405944780317,0.0,-0.0
62,0.62,10.116048028025824,10.0,5.0,0.01852569197593865,0.01852569197593865,0.0,2.7788537963907975,0.0,-0.0
63,0.63,10.117900939468543,10.0,5.0,0.01852911442718284,0.01852911442718284,0.0,2.779367164077426,0.0,-0.0
64,0.64,10.119754193266951,10.0,5.0,0.018532537984081242,0.018532537984081242,0.0,2.779880697612186,0.0,-0.0
65,0.65,10.121607789531664,10.0,5.0,0.018535962647129204,0.018535962647129204,0.0,2.7803943970693807,0.0,-0.0
66,0.66,10.123461728373346,10.0,5.0,0.018539388416822393,0.018539388416822393,0.0,2.7809082625233588,0.0,-0.0
67,0.67,10.125316009902711,10.0,5.0,0.018542815293656707,0.018542815293656707,0.0,2.781422294048506,0.0,-0.0
68,0.68,10.127170634230524,10.0,5.0,0.018546243278128403,0.018546243278128403,0.0,2.7819364917192604,0.0,-0.0
69,0.6900000000000001,10.129025601467598,10.0,5.0,0.018549672370733936,0.018549672370733936,0.0,2.7824508556100906,0.0,-0.0
70,0.7000000000000001,10.130880911724795,10.0,5.0,0.018553102571970088,0.018553102571970088,0.0,2.7829653857955132,0.0,-0.0
71,0.71,10.132736565113028,10.0,5.0,0.018556533882333897,0.018556533882333897,0.0,2.7834800823500845,0.0,-0.0
72,0.72,10.13459256174326,10.0,5.0,0.01855996630232269,0.01855996630232269,0.0,2.7839949453484034,0.0,-0.0
73,0.73,10.136448901726503,10.0,5.0,0.01856339983243406,0.01856339983243406,0.0,2.784509974865109,0.0,-0.0
74,0.74,10.13830558517382,10.0,5.0,0.018566834473165914,0.018566834473165914,0.0,2.785025170974887,0.0,-0.0
75,0.75,10.14016261219632,10.0,5.0,0.018570270225016377,0.018570270225016377,0.0,2.7855405337524566,0.0,-0.0
76,0.76,10.142019982905168,10.0,5.0,0.01857370708848393,0.01857370708848393,0.0,2.7860560632725897,0.0,-0.0
77,0.77,10.143877697411575,10.0,5.0,0.01857714506406729,0.01857714506406729,0.0,2.7865717596100934,0.0,-0.0
78,0.78,10.145735755826802,10.0,5.0,0.018580584152265434,0.018580584152265434,0.0,2.787087622839815,0.0,-0.0
